editor,author,title,year,publisher,address,isbn,lc
"NA","Willock, C. and Plage, G. D.","Africa's Rift Valley","1974","Time Life UK","London, UK","0705400964","QH195.R53 W54"
"NA","Watson, L.","Supernature: The natural history of the supernatural","1973","Hodder and Stoughton","London, UK","0340173688","BF1411 .W35 1973"
"NA","Yates, C","Nightwalk","2012","HarperCollins Publishers","London, UK","9780007448708","PR6125.A859 N54 2012"
"NA","Ellroy, J.","L.A. confidential","2011","Windmill","London, UK","9780099537885","PS3555.L6274 L18"
"NA","Twain, M.","Tom Sawyer & Huckleberry Finn","1998","Wordsworth Editions","Ware, UK","9781853260117","PZ3.C59 Ad63 PS1306"
"NA","Fermor, P. L.","Between the woods and the water","2004","John Murray Publishers","London, UK","9780719566967","DJK76.4 .F47"
"NA","Macfarlane, R.","Landmarks","2016","Penguin Books","London, UK","9780241967874","DA632 .M3245"
"NA","Wohlleben, P.","The hidden life of trees","2017","HarperCollins Publishers","London, UK","9780008218430","QC981.2 .W6413"
"NA","Pynchon, T.","Gravity's Rainbow","2013","Vintage","London, UK","9780099511755","PS3566.Y55 G7"
"NA","van Wyk B. and van Wyk P.","Field guide to trees of southern Africa","1997","Struik Publishers","Cape Town, South Africa","1868259226","QK394 .V338"
"NA","Seymour, J.","The complete book of self-sufficiency","1978","Transworld Publishers","London, UK","055298051X","S513.2 .S49"
"NA","Sandham, F.","Traversa","2008","Duckworth Overlook","London, UK","9780715637678","DT12.25 .S26"
"NA","Wainwright, A.","Pennine Way companion","1999","Michael Joseph","London, UK","0718140710","GV199.44.G72 P467"
"NA","Auden, W. H.","Selected poems","1968","Faber and Faber","London, UK","0571085210","PR6001.U4 A17"
"NA","Plath, S.","Winter trees","1975","Faber and Faber","London, UK","0571108628","PS3566.L27 W5"
"NA","Beaujean, A. A.","Latent variable modeling using R","2014","Routledge","New York NY, USA","9781848726994","QA278.6 .B43"
"NA","Beentje, H.","The Kew plant glossary: an illustrated disctionary of plant terms","2016","Royal Botanic Gardens, Kew","London, UK","9781842466049","QK9 .B34"
"NA","Rose, F.","The wild flower key: how to identify plants, trees and shrubs in Britain and Ireland","2006","Penguin Books","London, UK","9780723251750","QK281 .W47"
"Royal Botanic Gardens, Edinburgh","NA","Guide to collecting herbarium specimens in the field","2017","Royal Botanic Gardens, Edinburgh","Edinburgh, UK","9781910877210","NA"
"NA","Hubbard, C. E.","Grasses","1954","Penguin Books","Harmondsworth, UK","NA","QK495.G74 H74"
"NA","Allen, M. F. S.","Portuguese in 3 months","2003","Dorling Kindersley","London, UK","9781405301046","NA"
"NA","Chidumayo, E. N.","Miombo ecology and management: an introduction","1997","Intermediate Technology","London, UK","1853394114","NA"
"NA","Horn, H. S.","Adaptive geometry of trees","1971","Princeton University Press","Princeton NJ, USA","0691080895","SD396 .H67"
"Utteridge, T. and Bramley, G.","NA","The Kew tropical plant families identification handbook","2016","Royal Botanic Gardens, Kew","London, UK","9781842466025","NA"
"NA","Mahfouz, S.","How you might know me","2019","Outspoken Press","London, UK","9780993103865","NA"
"NA","Bates, L. and Sheers, O.","Letters to the future: on equality and gender","2018","Hay Festival Press","Hay-on-Wye, UK","9781999601508","NA"
"NA","David, E.","Mediterranean Food","1967","Penguin Books","Harmondsworth, UK","NA","TX725 .D36"
"NA","David, E.","Italian Food","1969","Penguin Books","Harmondsworth, UK","NA","TX723 .D3"
"NA","David, E.","Summer cooking","1969","Penguin Books","Harmondsworth, UK","NA","TX717 .D28"
"NA","David, E.","French country cooking","1969","Penguin Books","London, UK","NA","TX719 .D28"
"NA","David, E.","French provincial cooking","1968","Penguin Books","London, UK","NA","TX719 .D283"
"NA","Ordnance Survey","Oxford & surrounding area: Landranger 164 (1:50,000)","1991","Ordnance Survey","London, UK","0319221644","NA"
"NA","Ordnance Survey","Gloucester and Forest of Dean: Landranger 162 (1:50,000)","1990","Ordnance Survey","London, UK","0319221628","NA"
"NA","Ordnance Survey","Worcester, The Malverns & surrounding area: Landranger 150 (1:50,000)","1991","Ordnance Survey","London, UK","0319221504","NA"
"NA","Ordnance Survey","Snowdon & surrounding area: Landranger 115 (1:50,000)","1991","Ordnance Survey","London, UK","0319221156 ","NA"
"NA","Michelin","Levante Valencia-Murcia: 445 (1:400,000)","2001","Michelin","Madrid, Spain","206700445X","NA"
